rpm,N-m,deg,KW,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00067,351.000,0.00000,
0.00000,0.00067,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
0.00000,0.00068,351.000,0.00000,
0.00000,0.00068,351.000,0.00000,
0.00000,0.00067,351.000,0.00000,
0.00000,0.00067,351.000,0.00000,
0.00000,0.00071,351.000,0.00000,
0.00000,0.00071,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00068,351.000,0.00000,
0.00000,0.00068,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00070,351.000,0.00000,
0.00000,0.00072,351.000,0.00000,
0.00000,0.00072,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
0.00000,0.00062,351.000,0.00000,
0.00000,0.00062,351.000,0.00000,
0.00000,0.00064,351.000,0.00000,
0.00000,0.00064,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
0.00000,0.00069,351.000,0.00000,
